X,Y
3.258,-0.665
3.516,-0.719
3.516,-0.706
3.529,-0.706
3.529,-0.692
3.543,-0.692
3.543,-0.706
3.556,-0.706
3.556,-0.719
5.199,-0.706
5.199,-0.679
5.212,-0.719
5.212,-0.706
5.212,-0.679
5.212,-0.665
5.226,-0.665
5.226,-0.679
5.226,-0.692
5.226,-0.719
5.24,-0.679
5.24,-0.692
5.294,-0.665
5.294,-0.652
5.307,-0.679
5.307,-0.665
5.307,-0.652
5.307,-0.638
5.321,-0.706
5.321,-0.679
5.321,-0.638
5.321,-0.652
5.335,-0.719
5.335,-0.733
5.335,-0.652
5.335,-0.706
5.335,-0.719
5.335,-0.706
5.389,-0.733
5.389,-0.719
5.389,-0.706
5.389,-0.665
5.402,-0.747
5.402,-0.733
5.402,-0.665
5.402,-0.57
5.416,-0.76
5.416,-0.747
5.416,-0.57
5.416,-0.543
5.43,-0.543
5.43,-0.516
5.443,-0.516
5.443,-0.502
5.484,-0.502
5.484,-0.489
5.511,-0.489
5.511,-0.475
5.538,-0.475
5.538,-0.462
5.552,-0.462
5.552,-0.448
5.565,-0.774
5.565,-0.76
5.565,-0.448
5.565,-0.434
5.579,-0.787
5.579,-0.774
5.579,-0.434
5.579,-0.421
5.593,-0.801
5.593,-0.787
5.593,-0.421
5.593,-0.407
5.606,-0.814
5.606,-0.801
5.606,-0.407
5.606,-0.394
5.633,-0.801
5.633,-0.814
5.66,-0.394
5.66,-0.407
5.701,-0.407
5.701,-0.421
5.728,-0.421
5.728,-0.434
5.755,-0.434
5.755,-0.448
5.755,-0.787
5.755,-0.801
5.769,-0.448
5.769,-0.462
5.769,-0.774
5.769,-0.787
5.783,-0.462
5.783,-0.475
5.783,-0.76
5.783,-0.774
5.796,-0.475
5.796,-0.489
5.796,-0.747
5.796,-0.76
5.81,-0.489
5.81,-0.502
5.81,-0.706
5.81,-0.747
5.823,-0.502
5.823,-0.516
5.823,-0.665
5.823,-0.706
5.837,-0.516
5.837,-0.529
5.837,-0.652
5.837,-0.665
5.85,-0.529
5.85,-0.543
5.864,-0.543
5.864,-0.557
5.864,-0.638
5.864,-0.652
5.878,-0.557
5.878,-0.57
5.878,-0.597
5.878,-0.638
5.891,-0.584
5.891,-0.597
6.068,-0.57
6.068,-0.557
6.068,-0.57
6.068,-0.584
6.095,-0.557
6.095,-0.57
6.095,-0.557
6.095,-0.543
6.122,-0.543
6.122,-0.557
6.122,-0.543
6.122,-0.529
6.339,-0.529
6.339,-0.543
6.339,-0.529
6.339,-0.516
6.407,-0.516
6.407,-0.529
6.407,-0.516
6.407,-0.502
6.461,-0.502
6.461,-0.516
6.461,-0.502
6.461,-0.489
6.597,-0.489
6.597,-0.502
6.597,-0.489
6.597,-0.475
6.841,-0.475
6.841,-0.489
6.841,-0.475
6.841,-0.462
7.045,-0.407
7.045,-0.38
7.059,-0.462
7.059,-0.407
7.059,-0.38
7.059,-0.367
7.072,-0.367
7.072,-0.38
7.072,-0.394
7.072,-0.462
7.086,-0.38
7.086,-0.394
7.792,-0.462
7.792,-0.448
7.792,-0.462
7.792,-0.475
8.172,-0.448
8.172,-0.462
8.172,-0.489
8.172,-0.462
8.185,-0.516
8.185,-0.489
8.185,-0.462
8.185,-0.475
8.199,-0.57
8.199,-0.516
8.212,-0.597
8.212,-0.57
8.212,-0.475
8.212,-0.462
8.226,-0.706
8.226,-0.665
8.226,-0.624
8.226,-0.597
8.226,-0.462
8.226,-0.448
8.239,-0.747
8.239,-0.706
8.239,-0.665
8.239,-0.624
8.239,-0.448
8.239,-0.434
8.253,-0.787
8.253,-0.747
8.253,-0.434
8.253,-0.421
8.267,-0.828
8.267,-0.787
8.267,-0.421
8.267,-0.407
8.28,-0.842
8.28,-0.828
8.28,-0.407
8.28,-0.394
8.294,-0.855
8.294,-0.842
8.294,-0.394
8.294,-0.38
8.307,-0.38
8.307,-0.367
8.321,-0.367
8.321,-0.353
8.348,-0.842
8.348,-0.855
8.416,-0.828
8.416,-0.842
8.43,-0.814
8.43,-0.828
8.443,-0.787
8.443,-0.814
8.457,-0.353
8.457,-0.367
8.457,-0.774
8.457,-0.787
8.47,-0.367
8.47,-0.38
8.47,-0.76
8.47,-0.774
8.484,-0.38
8.484,-0.394
8.484,-0.747
8.484,-0.76
8.497,-0.394
8.497,-0.407
8.497,-0.733
8.497,-0.747
8.511,-0.407
8.511,-0.421
8.511,-0.719
8.511,-0.733
8.525,-0.421
8.525,-0.434
8.525,-0.706
8.525,-0.719
8.538,-0.434
8.538,-0.448
8.538,-0.692
8.538,-0.706
8.552,-0.448
8.552,-0.462
