x_val,y_val
2.0763,5.9893
2.0763,5.9573
2.0763,5.8775
2.0763,5.8934
2.0763,5.2386
2.0763,5.1907
2.0923,4.9671
2.0923,5.015
2.0923,5.9573
2.0923,5.9413
2.0923,5.8455
2.0923,5.8775
2.0923,5.1907
2.0923,5.1268
2.1082,4.9192
2.1082,4.9671
2.1082,5.9413
2.1082,5.9094
2.1082,5.8136
2.1082,5.8455
2.1082,5.1268
2.1082,5.0789
2.1242,4.8713
2.1242,4.9192
2.1242,5.9094
2.1242,5.8775
2.1242,5.7816
2.1242,5.8136
2.1242,5.0789
2.1242,5.031
2.1402,4.8074
2.1402,4.8713
2.1402,5.8775
2.1402,5.8615
2.1402,5.7657
2.1402,5.7816
2.1402,5.031
2.1402,4.9831
2.1561,4.7595
2.1561,4.8074
2.1561,5.8615
2.1561,5.8295
2.1561,5.7337
2.1561,5.7657
2.1561,4.9831
2.1561,4.9192
2.1721,4.7115
2.1721,4.7595
2.1721,5.8295
2.1721,5.7976
2.1721,5.7018
2.1721,5.7337
2.1721,4.9192
2.1721,4.8713
2.1721,0.2555
2.1721,0.2715
2.1721,0.3194
2.1721,0.3034
2.1881,4.6636
2.1881,4.7115
2.1881,5.7976
2.1881,5.7816
2.1881,5.6698
2.1881,5.7018
2.1881,4.8713
2.1881,4.8233
2.2041,4.5997
2.2041,4.6636
2.2041,5.7816
2.2041,5.7497
2.2041,5.6539
2.2041,5.6698
2.2041,4.8233
2.2041,4.7754
2.22,4.5518
2.22,4.5997
2.22,5.7497
2.22,5.7177
2.22,5.6219
2.22,5.6539
2.22,4.7754
2.22,4.7115
2.236,4.5039
2.236,4.5518
2.236,5.7177
2.236,5.6858
2.236,5.59
2.236,5.6219
2.236,4.7115
2.236,4.6636
2.252,4.456
2.252,4.5039
2.252,5.6858
2.252,5.6539
2.252,5.558
2.252,5.59
2.252,4.6636
2.252,4.6157
2.2679,4.3921
2.2679,4.456
2.2679,5.6539
2.2679,5.6379
2.2679,5.5261
2.2679,5.558
2.2679,4.6157
2.2679,4.5678
2.2839,4.3442
2.2839,4.3921
2.2839,5.6379
2.2839,5.6059
2.2839,5.5101
2.2839,5.5261
2.2839,4.5678
2.2839,4.5039
2.2999,4.3442
2.2999,5.6059
2.2999,5.574
2.2999,5.4782
2.2999,5.5101
