x_val,Y,y_val
406.825,1.078,-1
408.296,1.071,-1
409.711,1.068,-1
411.149,1.062,-1
412.596,1.067,-1
414.008,1.062,-1
415.429,1.073,-1
416.876,1.073,-1
418.308,1.073,-1
419.747,1.079,-1
421.178,1.084,-1
422.621,1.082,-1
424.149,1.094,-1
425.739,1.109,-1
427.291,1.123,-1
428.814,1.121,-1
430.309,1.112,-1
431.831,1.105,-1
433.348,1.112,-1
434.864,1.111,-1
436.4,1.12,-1
437.989,1.118,-1
439.513,1.126,-1
441.039,1.129,-1
442.552,1.131,-1
444.085,1.143,-1
445.598,1.145,-1
447.129,1.155,-1
448.767,1.173,-1
450.405,1.196,-1
451.996,1.21,-1
453.538,1.205,-1
455.059,1.198,-1
456.571,1.206,-1
458.113,1.209,-1
459.617,1.213,-1
461.111,1.217,-1
462.614,1.223,-1
464.148,1.227,-1
465.671,1.227,-1
467.215,1.228,-1
468.737,1.233,-1
470.282,1.238,-1
471.892,1.243,-1
473.564,1.267,-1
475.2,1.279,-1
476.749,1.279,-1
478.357,1.255,-1
479.932,1.243,-1
481.504,1.236,-1
483.077,1.233,-1
484.698,1.23,-1
486.325,1.216,-1
487.937,1.219,-1
489.542,1.217,-1
491.134,1.219,-1
492.725,1.217,-1
494.351,1.213,-1
496.079,1.215,-1
497.81,1.234,-1
499.513,1.244,-1
501.18,1.232,-1
502.794,1.219,-1
504.424,1.207,-1
506.04,1.202,-1
507.616,1.191,-1
509.21,1.191,-1
510.797,1.187,-1
512.408,1.186,-1
514.007,1.179,-1
515.646,1.174,-1
517.274,1.17,-1
518.895,1.169,-1
520.665,1.179,-1
522.464,1.192,-1
524.157,1.199,-1
525.811,1.187,-1
527.439,1.164,-1
529.127,1.159,-1
530.846,1.148,-1
532.522,1.138,-1
534.147,1.129,-1
535.79,1.118,-1
537.484,1.114,-1
539.139,1.111,-1
540.836,1.104,-1
542.509,1.104,-1
544.188,1.111,-1
545.896,1.123,-1
547.607,1.138,-1
549.224,1.14,-1
550.846,1.137,-1
552.509,1.135,-1
554.125,1.133,-1
555.751,1.137,-1
557.417,1.137,-1
559.057,1.139,-1
560.663,1.145,-1
562.313,1.144,-1
563.998,1.151,-1
565.685,1.151,-1
567.372,1.153,-1
569.133,1.162,-1
570.92,1.183,-1
572.693,1.209,-1
574.374,1.204,-1
576.011,1.189,-1
577.713,1.188,-1
579.421,1.177,-1
581.096,1.171,-1
582.802,1.173,-1
584.498,1.164,-1
586.153,1.163,-1
587.828,1.158,-1
589.536,1.158,-1
591.215,1.16,-1
592.899,1.167,-1
594.661,1.174,-1
596.446,1.192,-1
598.174,1.211,-1
599.829,1.204,-1
601.472,1.182,-1
603.129,1.189,-1
604.819,1.181,-1
606.471,1.18,-1
608.133,1.177,-1
609.817,1.176,-1
611.452,1.173,-1
613.088,1.166,-1
614.767,1.17,-1
616.461,1.167,-1
618.176,1.169,-1
620.008,1.175,-1
621.832,1.189,-1
623.548,1.202,-1
625.225,1.195,-1
626.866,1.175,-1
628.542,1.171,-1
630.28,1.164,-1
632.005,1.159,-1
633.759,1.155,-1
635.519,1.159,-1
637.261,1.16,-1
638.994,1.16,-1
640.73,1.157,-1
642.496,1.145,-1
644.337,1.144,-1
646.252,1.156,-1
648.037,1.171,-1
649.73,1.159,-1
651.409,1.139,-1
653.045,1.118,-1
654.685,1.111,-1
656.312,1.1,-1
657.962,1.093,-1
659.623,1.085,-1
661.243,1.073,-1
662.848,1.066,-1
664.455,1.058,-1
666.088,1.062,-1
667.73,1.065,-1
669.45,1.05,-1
671.259,1.057,-1
673.093,1.079,-1
674.788,1.096,-1
676.413,1.097,-1
677.995,1.088,-1
679.608,1.411,-1
681.268,1.081,-1
682.967,1.081,-1
684.665,1.084,-1
686.419,1.089,-1
688.156,1.09,-1
689.829,1.096,-1
691.455,1.097,-1
693.142,1.102,-1
694.72,1.101,-1
696.337,1.111,-1
698.077,1.137,-1
699.761,1.153,-1
701.419,1.166,-1
703.114,1.149,-1
704.716,1.134,-1
706.339,1.129,-1
707.987,1.128,-1
709.656,1.119,-1
711.35,1.119,-1
713.083,1.12,-1
714.807,1.105,-1
716.54,1.1,-1
718.296,1.096,-1
720.024,1.098,-1
721.805,1.103,-1
723.669,1.124,-1
725.526,1.145,-1
727.317,1.167,-1
729.113,1.147,-1
730.844,1.121,-1
732.575,1.122,-1
734.331,1.121,-1
736.064,1.115,-1
737.839,1.118,-1
739.617,1.117,-1
741.383,1.112,-1
743.167,1.13,-1
745.023,1.12,-1
746.804,1.118,-1
748.69,1.138,-1
750.651,1.16,-1
752.563,1.17,-1
754.399,1.175,-1
756.218,1.158,-1
758.055,1.128,-1
759.865,1.128,-1
761.682,1.128,-1
763.522,1.118,-1
765.388,1.113,-1
767.221,1.109,-1
769.031,1.107,-1
770.877,1.096,-1
772.673,1.095,-1
774.452,1.087,-1
776.341,1.091,-1
778.261,1.102,-1
780.173,1.108,-1
782.045,1.099,-1
783.875,1.082,-1
785.733,1.061,-1
787.605,1.066,-1
789.46,1.057,-1
791.292,1.058,-1
793.092,1.054,-1
794.912,1.05,-1
796.746,1.052,-1
798.492,1.047,-1
800.215,1.046,-1
801.961,1.061,-1
803.73,1.073,-1
805.475,1.087,-1
807.226,1.084,-1
808.888,1.078,-1
810.6,1.07,-1
812.274,1.06,-1
813.974,1.066,-1
815.722,1.075,-1
817.465,1.072,-1
819.211,1.077,-1
820.935,1.084,-1
822.699,1.088,-1
824.421,1.101,-1
826.15,1.107,-1
827.938,1.111,-1
829.793,1.136,-1
831.67,1.155,-1
833.511,1.181,-1
835.264,1.187,-1
837.058,1.174,-1
838.806,1.183,-1
840.517,1.194,-1
842.31,1.208,-1
844.117,1.216,-1
845.875,1.226,-1
847.688,1.235,-1
849.441,1.251,-1
851.198,1.26,-1
852.934,1.264,-1
854.724,1.268,-1
856.574,1.281,-1
858.482,1.303,-1
860.313,1.325,-1
862.141,1.333,-1
863.923,1.314,-1
865.689,1.312,-1
867.466,1.315,-1
869.194,1.314,-1
870.958,1.324,-1
872.727,1.319,-1
874.482,1.318,-1
876.211,1.324,-1
877.941,1.316,-1
879.703,1.309,-1
881.45,1.314,-1
883.227,1.314,-1
885.092,1.324,-1
886.959,1.344,-1
888.769,1.369,-1
890.528,1.347,-1
892.293,1.328,-1
894.072,1.325,-1
895.846,1.314,-1
897.61,1.32,-1
899.409,1.322,-1
901.217,1.325,-1
902.989,1.334,-1
904.788,1.336,-1
906.577,1.343,-1
908.4,1.341,-1
910.249,1.346,-1
912.271,1.354,-1
914.435,1.386,-1
916.549,1.406,-1
918.562,1.39,-1
920.612,1.372,-1
922.686,1.371,-1
924.739,1.368,-1
926.831,1.361,-1
928.91,1.358,-1
931.015,1.358,-1
933.09,1.357,-1
935.182,1.347,-1
937.311,1.347,-1
939.416,1.346,-1
941.603,1.367,-1
943.804,1.385,-1
945.85,1.383,-1
947.849,1.36,-1
949.897,1.338,-1
951.93,1.325,-1
953.933,1.321,-1
955.955,1.309,-1
958.017,1.309,-1
