 ,X,Y
320,471.749,1.263
321,473.358,1.258
322,474.946,1.251
323,476.524,1.259
324,478.134,1.262
325,479.704,1.266
326,481.263,1.270
327,482.832,1.277
328,484.432,1.280
329,486.022,1.280
330,487.633,1.282
331,489.222,1.287
332,490.834,1.292
333,492.514,1.298
334,494.260,1.322
335,495.968,1.335
336,497.583,1.335
337,499.262,1.309
338,500.906,1.297
339,502.547,1.290
340,504.188,1.287
341,505.880,1.284
342,507.578,1.269
343,509.261,1.272
344,510.936,1.270
345,512.598,1.273
346,514.259,1.271
347,515.955,1.266
348,517.759,1.269
349,519.565,1.288
350,521.343,1.298
351,523.082,1.286
352,524.768,1.272
353,526.469,1.260
354,528.155,1.254
355,529.800,1.243
356,531.463,1.243
357,533.120,1.239
358,534.802,1.238
359,536.470,1.231
360,538.181,1.225
361,539.880,1.221
362,541.572,1.220
363,543.419,1.230
364,545.297,1.245
365,547.064,1.252
366,548.790,1.239
367,550.489,1.215
368,552.251,1.210
369,554.045,1.198
370,555.794,1.188
371,557.490,1.179
372,559.205,1.167
373,560.973,1.162
374,562.701,1.160
375,564.472,1.152
376,566.218,1.152
377,567.970,1.159
378,569.753,1.172
379,571.538,1.188
380,573.226,1.190
381,574.920,1.187
382,576.655,1.185
383,578.342,1.182
384,580.038,1.186
385,581.777,1.187
386,583.489,1.189
387,585.165,1.195
388,586.887,1.194
389,588.646,1.202
390,590.407,1.202
391,592.167,1.203
392,594.006,1.213
393,595.871,1.235
394,597.721,1.262
395,599.475,1.257
396,601.184,1.240
397,602.960,1.240
398,604.743,1.228
399,606.491,1.222
400,608.272,1.225
401,610.042,1.214
402,611.769,1.214
403,613.517,1.208
404,615.300,1.209
405,617.053,1.210
406,618.810,1.218
407,620.649,1.225
408,622.512,1.244
409,624.315,1.264
410,626.043,1.257
411,627.758,1.233
412,629.487,1.240
413,631.250,1.232
414,632.975,1.231
415,634.710,1.229
416,636.467,1.228
417,638.174,1.224
418,639.881,1.217
419,641.634,1.221
420,643.402,1.218
421,645.191,1.220
422,647.104,1.226
423,649.007,1.240
424,650.799,1.255
425,652.548,1.247
426,654.262,1.226
427,656.011,1.223
428,657.825,1.214
429,659.625,1.210
430,661.456,1.206
431,663.293,1.210
432,665.111,1.210
433,666.920,1.210
434,668.732,1.207
435,670.574,1.195
436,672.496,1.194
437,674.495,1.206
438,676.357,1.222
439,678.125,1.209
440,679.878,1.189
441,681.585,1.167
442,683.297,1.160
443,684.994,1.148
444,686.717,1.141
445,688.450,1.133
446,690.141,1.120
447,691.816,1.112
448,693.493,1.104
449,695.198,1.108
450,696.912,1.102
451,698.706,1.096
452,700.595,1.104
453,702.508,1.126
454,704.278,1.144
455,705.973,1.124
456,707.625,1.135
457,709.295,1.114
458,711.041,1.129
459,712.814,1.128
460,714.586,1.132
461,716.417,1.136
462,718.230,1.137
463,719.976,1.144
464,721.673,1.145
465,723.434,1.150
466,725.081,1.150
467,726.769,1.160
468,728.584,1.187
469,730.342,1.203
470,732.072,1.217
471,733.842,1.199
472,735.513,1.184
473,737.207,1.179
474,738.927,1.177
475,740.670,1.168
476,742.438,1.168
477,744.246,1.168
478,746.046,1.153
479,747.854,1.148
480,749.687,1.144
481,751.491,1.146
482,753.349,1.151
483,755.294,1.173
484,757.233,1.195
485,759.102,1.218
486,760.976,1.197
487,762.784,1.170
488,764.590,1.171
489,766.423,1.170
490,768.232,1.164
491,770.084,1.167
492,771.940,1.166
493,773.783,1.161
494,775.645,1.179
495,777.582,1.169
496,779.441,1.167
497,781.409,1.188
498,783.456,1.210
499,785.451,1.221
500,787.368,1.226
501,789.266,1.209
502,791.184,1.177
503,793.073,1.177
504,794.969,1.177
505,796.890,1.167
506,798.837,1.162
507,800.751,1.157
508,802.640,1.155
509,804.566,1.144
510,806.440,1.143
511,808.297,1.134
512,810.269,1.138
513,812.273,1.150
514,814.269,1.156
515,816.222,1.147
516,818.132,1.130
517,820.071,1.108
518,822.025,1.113
519,823.962,1.104
520,825.873,1.104
521,827.751,1.100
522,829.651,1.096
523,831.566,1.098
524,833.388,1.093
525,835.186,1.092
526,837.008,1.107
527,838.855,1.120
528,840.676,1.134
529,842.503,1.132
530,844.239,1.125
531,846.025,1.116
532,847.773,1.106
533,849.546,1.113
534,851.371,1.122
535,853.190,1.119
536,855.012,1.124
537,856.812,1.132
538,858.653,1.136
539,860.450,1.149
540,862.255,1.155
541,864.121,1.160
542,866.057,1.186
543,868.016,1.206
544,869.937,1.233
545,871.766,1.239
546,873.640,1.225
547,875.463,1.235
548,877.249,1.246
549,879.121,1.261
550,881.007,1.269
551,882.842,1.280
552,884.734,1.289
553,886.564,1.306
554,888.397,1.315
555,890.209,1.319
556,892.078,1.323
557,894.008,1.337
558,896.000,1.360
559,897.910,1.383
560,899.819,1.391
561,901.679,1.371
562,903.521,1.369
563,905.376,1.372
564,907.180,1.371
565,909.021,1.382
566,910.867,1.376
567,912.698,1.376
568,914.503,1.382
569,916.309,1.374
570,918.148,1.366
571,919.971,1.371
572,921.826,1.371
573,923.772,1.381
574,925.721,1.403
575,927.610,1.429
576,929.446,1.406
577,931.288,1.386
578,933.145,1.383
579,934.996,1.371
580,936.837,1.378
581,938.715,1.380
582,940.603,1.383
583,942.451,1.393
584,944.329,1.394
585,946.197,1.402
586,948.099,1.400
587,950.029,1.405
588,952.139,1.413
589,954.398,1.446
590,956.604,1.467
591,958.705,1.451
592,960.845,1.432
593,963.010,1.431
594,965.152,1.427
595,967.335,1.421
596,969.505,1.417
597,971.702,1.418
598,973.868,1.416
599,976.051,1.406
600,978.273,1.406
601,980.470,1.405
602,982.753,1.426
603,985.050,1.445
604,987.186,1.444
605,989.273,1.420
606,991.409,1.396
607,993.531,1.382
608,995.622,1.378
609,997.732,1.366
610,999.885,1.366
611,1001.951,1.348
612,1004.020,1.344
613,1006.133,1.341
614,1008.146,1.334
615,1010.207,1.337
616,1012.312,1.352
617,1014.385,1.374
618,1016.412,1.370
619,1018.396,1.347
620,1020.435,1.329
621,1022.424,1.319
622,1024.398,1.309
623,1026.420,1.306
624,1028.388,1.298
625,1030.346,1.307
626,1032.279,1.305
627,1034.175,1.310
628,1036.159,1.316
629,1038.173,1.311
630,1040.222,1.322
631,1042.356,1.347
632,1044.465,1.377
633,1046.449,1.365
634,1048.486,1.344
635,1050.462,1.323
636,1052.426,1.320
637,1054.441,1.310
638,1056.436,1.296
639,1058.464,1.281
640,1060.465,1.285
641,1062.432,1.274
642,1064.437,1.270
643,1066.431,1.260
644,1068.413,1.254
645,1070.495,1.256
646,1072.636,1.271
647,1074.693,1.284
648,1076.674,1.265
649,1078.629,1.248
650,1080.616,1.228
651,1082.590,1.201
652,1084.505,1.205
653,1086.478,1.203
654,1088.476,1.180
655,1090.433,1.183
656,1092.420,1.185
657,1094.350,1.186
658,1096.337,1.186
659,1098.289,1.179
660,1100.343,1.191
661,1102.546,1.210
662,1104.623,1.238
663,1106.656,1.235
664,1108.678,1.212
665,1110.657,1.201
666,1112.609,1.204
667,1114.551,1.200
668,1116.477,1.197
669,1118.405,1.199
670,1120.278,1.203
671,1122.219,1.200
672,1124.155,1.209
673,1126.111,1.215
674,1128.066,1.217
675,1130.106,1.221
676,1132.198,1.234
677,1134.292,1.251
678,1136.290,1.264
679,1138.223,1.244
680,1140.208,1.225
681,1142.142,1.214
682,1144.061,1.192
683,1145.994,1.197
684,1147.918,1.189
685,1149.877,1.177
686,1151.816,1.176
687,1153.751,1.171
688,1155.663,1.183
689,1157.590,1.183
690,1159.504,1.167
691,1161.491,1.189
692,1163.534,1.199
693,1165.576,1.218
694,1167.524,1.220
695,1169.485,1.204
696,1171.450,1.187
697,1173.399,1.177
698,1175.375,1.167
699,1177.308,1.164
700,1179.339,1.159
701,1181.323,1.159
702,1183.308,1.153
703,1185.252,1.147
704,1187.237,1.141
705,1189.219,1.137
706,1191.226,1.126
707,1193.334,1.146
708,1195.445,1.159
709,1197.502,1.160
710,1199.539,1.149
711,1201.534,1.121
712,1203.507,1.125
713,1205.487,1.115
714,1207.504,1.096
715,1209.551,1.104
716,1211.625,1.104
717,1213.664,1.092
718,1215.702,1.095
719,1217.733,1.075
720,1219.744,1.102
721,1221.800,1.100
722,1223.878,1.112
723,1225.993,1.134
724,1228.075,1.140
725,1230.085,1.144
726,1232.133,1.121
727,1234.093,1.128
728,1236.086,1.119
729,1238.105,1.122
730,1240.066,1.131
731,1242.045,1.127
732,1244.050,1.125
733,1246.068,1.131
734,1248.077,1.133
735,1250.082,1.137
736,1252.145,1.132
737,1254.244,1.153
738,1256.404,1.162
739,1258.595,1.197
740,1260.714,1.207
741,1262.780,1.193
742,1264.828,1.179
743,1266.879,1.179
744,1268.897,1.189
745,1270.912,1.191
746,1272.883,1.196
747,1274.960,1.200
748,1276.976,1.220
749,1278.981,1.214
750,1281.021,1.226
751,1283.071,1.235
752,1285.121,1.251
753,1287.281,1.253
754,1289.484,1.291
755,1291.581,1.324
756,1293.644,1.303
757,1295.687,1.290
758,1297.783,1.288
759,1299.806,1.288
760,1301.842,1.267
761,1303.949,1.258
762,1305.980,1.249
763,1308.034,1.244
764,1310.071,1.234
765,1312.142,1.227
766,1314.160,1.228
767,1316.174,1.207
768,1318.252,1.217
769,1320.421,1.232
770,1322.552,1.246
771,1324.672,1.247
772,1326.687,1.222
773,1328.738,1.206
774,1330.786,1.201
775,1332.779,1.192
776,1334.862,1.183
777,1336.916,1.173
778,1338.955,1.171
779,1341.047,1.171
780,1343.095,1.160
781,1345.156,1.155
782,1347.227,1.149
783,1349.319,1.150
784,1351.521,1.155
785,1353.712,1.179
786,1355.858,1.194
787,1357.993,1.173
788,1360.104,1.158
789,1362.253,1.154
790,1364.396,1.158
791,1366.519,1.179
792,1368.607,1.187
793,1370.658,1.186
794,1372.757,1.188
795,1374.863,1.194
796,1376.965,1.189
797,1379.071,1.194
798,1381.139,1.192
799,1383.283,1.202
800,1385.527,1.221
801,1387.684,1.227
802,1389.782,1.229
803,1391.830,1.215
804,1393.930,1.204
805,1396.030,1.205
806,1398.063,1.198
807,1400.157,1.198
808,1402.233,1.198
809,1404.330,1.204
810,1406.415,1.206
811,1408.503,1.211
812,1410.601,1.214
813,1412.721,1.245
814,1414.817,1.242
815,1417.030,1.252
816,1419.233,1.256
817,1421.400,1.264
818,1423.564,1.265
819,1425.693,1.269
820,1427.814,1.285
821,1429.941,1.287
822,1432.115,1.287
823,1434.343,1.282
824,1436.641,1.264
825,1439.020,1.271
826,1441.338,1.266
827,1443.687,1.269
828,1445.966,1.259
829,1448.254,1.259
830,1450.596,1.262
831,1452.891,1.267
832,1455.119,1.250
833,1457.277,1.225
834,1459.469,1.206
835,1461.612,1.193
836,1463.748,1.175
837,1465.899,1.173
838,1468.056,1.158
839,1470.232,1.159
840,1472.403,1.157
841,1474.615,1.154
842,1476.790,1.203
843,1478.833,1.200
844,1480.938,1.199
845,1483.194,1.208
846,1485.407,1.219
847,1487.607,1.223
848,1489.788,1.225
849,1492.023,1.217
850,1494.227,1.216
851,1496.484,1.199
852,1498.777,1.193
853,1501.054,1.180
854,1503.343,1.174
855,1505.652,1.168
856,1507.958,1.155
857,1510.301,1.150
858,1512.636,1.150
859,1515.047,1.151
860,1517.517,1.171
861,1519.983,1.185
862,1522.351,1.195
863,1524.739,1.184
